from,to,relation,year
ba_f_2022,phkr,1,2022
ba_f_2022,stko,1,2022
ba_f_2022,stvo,1,2022
ba_f_2022,tidi,1,2022
ba_f_2022,tije,1,2022
ba_f_2022,tofr,1,2022
ba_f_2022,umte,1,2022
ba_f_2022,yasy,1,2022
ba_f_2023,jesa,1,2023
ba_f_2023,adal,1,2023
