from,to,relation ,year,Eindeutige Knoten
tbatn_2023,davi,1,2023,bsf_2023
tbatn_2023,mala,1,2023,bsf_2024
tbatn_2023,domi,1,2023,lois
tbatn_2023,mike2,1,2023,lois_2020
tbatn_2023,alex,1,2023,lois_2021
tbatn,tbatn_2021,2,2021,lois_2022
tbatn_2021,meem,1,2021,lois_2023
tbatn_2021,moam,1,2021,lois_2024
tbatn_2021,rira,1,2021,
tbatn_2021,alle,1,2021,sadi
tbatn_2021,heba,1,2021,maca
tbatn_2021,ceas,1,2021,stst
tbatn_2021,losc,1,2021,dedo
tbatn_2021,wikt,1,2021,onal
tbatn_2021,jumo,1,2021,fuak
tbatn_2021,tere,1,2021,solo
tbatn_2021,cao,1,2021,anst
tbatn_2021,chri,1,2021,olnu
tbatn_2021,jere,1,2021,keni
tbatn_2021,leon,1,2021,fafa
tbatn_2021,luca1,1,2021,lamu
tbatn_2021,markus,1,2021,emhu
tbatn_2021,volk,1,2021,tokl
tbatn,tbatn_2020,2,2020,kiha
tbatn_2020,anan,1,2020,savas
tbatn_2020,emru,1,2020,shsc
tbatn_2020,kisch,1,2020,babu
tbatn_2020,mabr,1,2020,lino
tbatn_2020,vilu,1,2020,nesc
tbatn_2020,chgr,1,2020,vane
tbatn_2020,sakl,1,2020,chok
tbatn_2020,kaiw,1,2020,cose
tbatn_2020,seme,1,2020,joel
tbatn_2020,elga,1,2020,sam
tbatn_2020,svek,1,2020,kili
tbatn_2020,ilku,1,2020,pier
tbatn_2020,juli,1,2020,mike1
tbatn_2020,svel,1,2020,krun
tbatn_2020,jenn,1,2020,danie
tbatn_2020,dion,1,2020,semo
tbatn_2020,flam,1,2020,nabe
rtl,ba,4,0,juwo
ba,ba_2020,2,2020,seli
ba_2020,anmi,1,2020,bren
ba_2020,wips,1,2020,wado
ba_2020,bisc,1,2020,beve
ba_2020,deko,1,2020,chbr
ba_2020,dezu,1,2020,stef
ba_2020,lire,1,2020,flor
ba_2020,dika,1,2020,samu
ba_2020,ispa,1,2020,davi
ba_2020,lapa,1,2020,mala
ba_2020,lekr,1,2020,domi
ba_2020,navr,1,2020,mike2
ba_2020,jera,1,2020,alex
ba_2020,jeku,1,2020,meem
ba_2020,jesc,1,2020,moam
ba_2020,jeth,1,2020,rira
ba_2020,jefi,1,2020,alle
ba_2020,juca,1,2020,heba
ba_2020,miro,1,2020,ceas
ba_2020,jebr,1,2020,losc
ba_2020,rehu,1,2020,wikt
ba_2020,vagu,1,2020,jumo
ba_2020,jewe,1,2020,tere
ba_2020,sepr,1,2020,cao
ba,ba_2021,2,2021,chri
